,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
111,Colors - Audien Remix,spotify:track:2wINoRCKEZtA4CuLLwP86J,0.654,0.887,-1.998,0.115,0.0588,0.0849
112,Warm,spotify:track:1BgSJnoM44sIin6ESsZMkP,0.466,0.46,-13.928,0.0849,0.518,0.103
113,No Problem (feat. Lil Wayne & 2 Chainz),spotify:track:0v9Wz8o0BT8DU38R4ddjeH,0.652,0.795,-5.192,0.174,0.156,0.123
114,Juke Jam (feat. Justin Bieber & Towkio),spotify:track:3eze1OsZ1rqeXkKStNfTmi,0.505,0.397,-9.349,0.324,0.716,0.0853
115,All Night (feat. Knox Fortune),spotify:track:60xaS8mYBKUW4VQQ666N0T,0.704,0.777,-5.729,0.195,0.0358,0.151
116,Policeman,spotify:track:5dv1k1EENIPfsmGoHOrMPc,0.635,0.959,-1.568,0.134,0.0419,0.301
117,LUV,spotify:track:5eG6cZTO4G5hFcnjyGR1ao,0.688,0.541,-8.128,0.114,0.0118,0.123
118,DJ Turn It Up,spotify:track:1ivuWgxFQb2xzxVNSlB1hF,0.829,0.695,-5.561,0.0473,0.000956,0.112
119,"All of Me (feat. Logic, ROZES)",spotify:track:7FqsuPolV5GURA7p3HPQtn,0.628,0.877,-3.016,0.041,0.00189,0.228
120,The Half,spotify:track:69bDRy5MeWQl1lNeEJQIBE,0.705,0.695,-3.359,0.113,0.0112,0.691
121,CRZY,spotify:track:7xsktt3inEVSrjzPg5S0ce,0.824,0.711,-7.279,0.222,0.209,0.144
122,Say Now,spotify:track:2rY2Qh93MDu5sNi9czPqxC,0.68,0.368,-7.187,0.043,0.0606,0.0755
123,Summer on You,spotify:track:7Ct0Q46k5PkXzYiNE5D2dn,0.731,0.727,-5.608,0.0356,0.0295,0.171
124,Would I Lie to You,spotify:track:7a7sV4C2waWGtshDespEmy,0.58,0.905,-3.719,0.0352,0.00712,0.203
125,Trouble,spotify:track:2pex1RNUgi1FwVUTMnIQ1x,0.594,0.971,-3.504,0.0452,0.0108,0.11
126,Not Nice,spotify:track:04sT6xbMnJouAktbkkr4qr,0.598,0.496,-9.309,0.0804,0.0253,0.12
127,Beautiful Life,spotify:track:5uFvYpEtruaJHk8Zh8rRCP,0.725,0.523,-6.494,0.0373,0.141,0.162
128,Invitation,spotify:track:2erKWv8weLYKZDqfBn3TPG,0.598,0.842,-5.612,0.0815,0.0978,0.644
129,Don't Hurt Me,spotify:track:2ssGTwksUnSzFqeMTLJaU7,0.643,0.465,-10.562,0.461,0.107,0.0857
130,California Sun - Extended Mix,spotify:track:4NvhzTd7HM4W9e4kXgOhtL,0.615,0.748,-3.141,0.0402,0.0229,0.109
131,Deep Down Low,spotify:track:46rZgRYU1H5Xnv0n75OGis,0.794,0.896,-1.514,0.0677,0.00371,0.0876
132,Badman - Torro Torro Remix,spotify:track:5suntl7SJKOsVzwZt8ivL3,0.728,0.994,-0.914,0.0406,0.0184,0.343
133,The Party (This Is How We Do It),spotify:track:3ciyZYofjiqmMUElM5qgGB,0.686,0.928,-4.335,0.0366,0.113,0.0457
134,Strobe - Feed Me Remix,spotify:track:1yRf18YMSZMBX0Oyuwq9YU,0.458,0.654,-5.457,0.0633,0.214,0.0978
135,Flossin',spotify:track:3z6U7PHbdC4849G151Ylpo,0.718,0.698,-8.746,0.104,0.00859,0.156
136,Starboy,spotify:track:2IY7eOUDjw2ArKYxKa2jXc,0.682,0.592,-7.033,0.281,0.169,0.136
137,Bailar (feat. Elvis Crespo) - Radio Edit,spotify:track:45sGyAtAxD6efaN0bJAFgh,0.799,0.738,-9.043,0.118,0.0485,0.0603
138,Yeah Yeah,spotify:track:6AhvA3rC2lRSYV8kh183CK,0.545,0.671,-7.735,0.117,0.109,0.109
139,Sacrilegious,spotify:track:4L3hja5ROnBDN5So4bUEo3,0.773,0.508,-8.583,0.0558,0.32,0.106
140,Realest In the City (feat. Meek Mill & PARTYNEXTDOOR),spotify:track:1kKfLv5RsxxQb6afxfIgsz,0.725,0.471,-8.635,0.241,0.0455,0.196
141,Chemicals,spotify:track:0qqwzVWiVmIRynDh1nTGCG,0.529,0.955,-2.59,0.0794,0.0344,0.353
142,M.I.A.,spotify:track:4k3m5jtjErernuKolqKyt2,0.549,0.57,-6.766,0.199,0.0847,0.304
143,Friends With Benefits,spotify:track:6tmrSnHcp8h5WIP9ZSWiAr,0.554,0.394,-9.823,0.0413,0.515,0.0421
144,Beautiful Now,spotify:track:2ISSQPb9LHHiV6ng2NXosL,0.628,0.833,-4.126,0.0282,0.0079,0.074
145,Faithful,spotify:track:5csyFWmmFlqKXh3ehjom3H,0.536,0.446,-10.489,0.162,0.104,0.323
146,Moment,spotify:track:04KJ4NGb2T22y26sTO41Q0,0.529,0.549,-6.024,0.35,0.0245,0.0757
147,True Colors,spotify:track:7I04GCxIwuB1EPFm9pA6XJ,0.568,0.794,-3.317,0.0371,0.398,0.104
148,Ur on My Mind,spotify:track:6cXrFTx5N4IM5tVffUwzGI,0.512,0.922,-2.13,0.0564,0.0393,0.429
149,24k,spotify:track:33qJwWQzCnoEex3bZJIsKU,0.589,0.978,-3.463,0.078,0.00335,0.606
150,Sides (feat. Nyne),spotify:track:7iP4WXqLEKXtp7vQ6eNpoQ,0.604,0.55,-5.7,0.139,0.0177,0.107
151,Trap Pussy,spotify:track:0q2jYubeuRNloVShjlu2HG,0.731,0.656,-5.677,0.0514,0.000339,0.129
152,Beneath with Me (feat. Skylar Grey),spotify:track:1lsGvEI6CpsS8upSZSKEZX,0.388,0.791,-5.801,0.0414,0.0648,0.167
153,No Romeo No Juliet,spotify:track:316YI8bde4RlWrLODlEiSn,0.794,0.613,-5.623,0.336,0.348,0.0579
154,Too Rich For The Bitch,spotify:track:2a4FxeAvHco9UkaVFxCPDO,0.843,0.419,-7.633,0.254,0.269,0.13
